point_key,point_label,is_single_operator,point_tp_map_x,point_tp_map_y,from_system_label,from_infrastructure_type_label,from_country_key,from_country_label,from_bz_key,from_bz_label,from_bz_label_long,from_operator_key,from_operator_label,from_operator_long_label,from_point_key,from_point_label,from_is_cam,from_is_cmp,from_booking_platform_key,from_booking_platform_label,from_booking_platform_url,to_is_cam,to_is_cmp,to_booking_platform_key,to_booking_platform_label,to_booking_platform_url,from_tso_item_identifier,from_tso_point_label,from_direction_key,from_has_data,to_system_label,to_infrastructure_type_label,to_country_key,to_country_label,to_bz_key,to_bz_label,to_bz_label_long,to_operator_key,to_operator_label,to_operator_long_label,to_point_key,to_point_label,to_direction_key,to_has_data,to_tso_item_identifier,to_tso_point_label,valid_from,validto,last_update_date_time,is_invalid,entry_tp_ne_mo_usage,exit_tp_ne_mo_usage,id,data_set,from_region_key,to_region_key
DIS-00020,Aliveri (PPC),False,43.07,-72.98,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00020,Aliveri (PPC),False,False,,,,,,,,,21Z000000000434M,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00020GreeceGR-TSO-0001DIS-00020exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00021,Aloyminion,False,35.42,-72.76,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00021,Aloyminion,False,False,,,,,,,,,21Z000000000442N,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00021GreeceGR-TSO-0001DIS-00021exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00022,Aloyminion II,False,35.42,-72.76,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00022,Aloyminion II,False,False,,,,,,,,,21Z000000000441P,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00022GreeceGR-TSO-0001DIS-00022exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00023,Aloyminion III,False,35.42,-72.76,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00023,Aloyminion III,False,False,,,,,,,,,21Z000000000440R,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00023GreeceGR-TSO-0001DIS-00023exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00024,Athens,False,41.66,-73.37,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00024,Athens,False,False,,,,,,,,,21Z000000000439C,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00024GreeceGR-TSO-0001DIS-00024exitDistribution,4,Southern Europe,Southern Europe
DIS-00025,Drama,False,42.1,-66.2,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00025,Drama,False,False,,,,,,,,,21Z000000000430U,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00025GreeceGR-TSO-0001DIS-00025exitDistribution,4,Southern Europe,Southern Europe
DIS-00026,ELPE,False,35.6,-67.11,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00026,ELPE,False,False,,,,,,,,,21Z000000000429F,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00026GreeceGR-TSO-0001DIS-00026exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00027,Energiaki Thess. (ELPE),False,35.99,-67.54,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00027,Energiaki Thess. (ELPE),False,False,,,,,,,,,21Z000000000428H,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00027GreeceGR-TSO-0001DIS-00027exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00028,Heron II,False,38.85,-72.69,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00028,Heron II,False,False,,,,,,,,,21Z000000000427J,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00028GreeceGR-TSO-0001DIS-00028exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00029,Heronas,False,38.85,-72.69,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00029,Heronas,False,False,,,,,,,,,21Z000000000426L,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00029GreeceGR-TSO-0001DIS-00029exitFinal Consumers,4,Southern Europe,Southern Europe
