,geojson_name,point_label,point_type,geojson_id,tp_map_x,tp_map_y,latitude,longitude
77,Livorno,OLT LNG / Livorno,LNG Entry point,INET_N_716,-29.75,-58.33,43.547519,10.311025
78,Cavarzere,Cavarzere (Porto Levante / Adriatic LNG),LNG Entry point,INET_N_741,-17.41774013,-52.02540398,45.133742,12.08022
79,Porto,Cavarzere (Porto Levante / Adriatic LNG),LNG Entry point,INET_N_950,-17.41774013,-52.02540398,41.15,-8.63
80,Emden,Emden (EPT1),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_264,-45.04,7.23,53.3594029,7.2060095
81,Gernsheim,Gernsheim,Transmission Point,INET_N_164,0.0,0.0,49.743662,8.55088
82,Stara Zagora,Stara Zagora,Transmission Point,INET_N_65,50.3,-62.8,42.435,25.638
83,Wallbach,Wallbach,Cross-Border Transmission IP between EU and Non-EU,INET_N_120,-42.01,-39.03,47.566,7.9
84,Isaccea,Isaccea (RO) - Orlovka (UA) III,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_964,65.61,-51.23,45.265423,28.4607273
85,Orlovka,Isaccea (RO) - Orlovka (UA) III,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_1066,65.61,-51.23,45.3199,28.45287
86,Lubmin,Lubmin II,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_278,-12.35,11.31,54.151055,13.655607
87,Kiskundorozsma,Kiskundorozsma-2 (HU) / Horgos (RS),Cross-Border Transmission IP between EU and Non-EU,INET_N_625,22.24,-47.07,46.2730809,20.063011
88,Bacton,Bacton AGG,Cross-Border Transmission IP between EU and ExtEU,INET_N_516,-75.45,1.17,52.8506,1.466
89,Malkoclar,Strandzha 2 (BG) / Malkoclar (TR),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_1065,58.32,-63.61,42.041,27.018
90,Barcelona,Barcelona,LNG Entry point,INET_N_349,-72.77,-66.56,41.398,2.174
91,Roussines,Sines,LNG Entry point,INET_N_431,-129.11,-73.3,46.463,1.38
92,Voisines,Sines,LNG Entry point,INET_N_446,-129.11,-73.3,47.95245,5.14
93,Banatski Dvor,UGS Banatski Dvor (RS),Storage IP Non-EU,INET_N_982,20.21,-48.57,45.537223,20.47481
94,Vlieghuis,Vlieghuis (NL) / Kalle (DE) (RWE),Cross-Border Storage IP within EU,INET_N_872,-47.86,-0.83,52.66,6.83
95,Gateway,Barrow (Gateway),Storage point ExtEU,INET_N_550,0.0,0.0,54.099578,-3.18364
96,Velke Kapusany,UGS Velke Kapusany,Storage point,INET_N_1056,30.22445025,-29.51779293,48.552002,22.121625
97,Rehden,Rehden,Storage point,INET_N_242,-36.81492357,-1.910173259,52.613673,8.493598
98,Wolfersberg,Wolfersberg UGS,Storage point,INET_N_133,-21.73120838,-33.32437367,48.042629,11.816447
99,Lussagnet,Lussagnet,Storage point,INET_N_407,-85.03,-57.68,43.780448,-0.220066
100,Oude Statenzijl,Etzel (DE) (Crystal) / Oude Statenzijl (NL),Cross-Border Storage IP within EU,INET_N_890,-41.7,6.36,53.2019,7.205
101,Reckrod,Speicher Reckrod,Storage point,INET_N_180,-32.43,-16.85,50.785275,9.788964
102,Bacton,Deborah Storage (Bacton),Storage point ExtEU,INET_N_516,-75.45,1.17,52.8506,1.466
