country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime
DK,VTP-00004,NPTF,False,-37.71,29.69,Joint Bal Zone DK/SE,Transmission,DK,Denmark,Joint Bal Zone DK/SE,Transmission,DK,Denmark,DK-TSO-0001,Energinet,VTP-00004,NPTF,,,Jun  5 2024  6:23PM
DK,VTP-00004,NPTF,False,-37.71,29.69,Joint Bal Zone DK/SE,Transmission,DK,Denmark,Joint Bal Zone DK/SE,Transmission,DK,Denmark,,,,,,,Jun  5 2024  6:23PM
DK,ITP-10009,Faxe,False,-20.13,20.96,Joint Bal Zone DK/SE,Transmission,DK,Denmark,Poland H-gas,Transmission,PL,Poland,PL-TSO-0002,GAZ-SYSTEM,ITP-10009,FAXE,,,Jun  5 2024  6:23PM
SK,ITP-00027,Balassagyarmat (HU) / Velké Zlievce (SK),False,17.93,-36.21,Slovakia,Transmission,SK,Slovakia,,,,,,,,,,,Jun  5 2024  6:23PM
SK,ITP-00027,Balassagyarmat (HU) / Velké Zlievce (SK),False,17.93,-36.21,Slovakia,Transmission,SK,Slovakia,Hungary,Transmission,HU,Hungary,HU-TSO-0001,FGSZ,ITP-00027,Balassagyarmat (HU) / Velké Zlievce (SK),,,Jun  5 2024  6:23PM
SK,ITP-00051,Lanžhot,False,5.36,-31.84,Slovakia,Transmission,SK,Slovakia,Czech,Transmission,CZ,Czechia,CZ-TSO-0001,N4G,ITP-00051,Lanzhot,,,Jun  5 2024  6:23PM
SK,ITP-00168,Baumgarten,False,4.83,-34.34,Slovakia,Transmission,SK,Slovakia,Austria,Transmission,AT,Austria,AT-TSO-0001,GCA,ITP-00062,Baumgarten,,,Jun  5 2024  6:23PM
SK,ITP-00168,Baumgarten,False,4.83,-34.34,Slovakia,Transmission,SK,Slovakia,Austria,Transmission,AT,Austria,AT-TSO-0003,TAG GmbH,ITP-00037,Baumgarten,,,Jun  5 2024  6:23PM
SK,ITP-00168,Baumgarten,False,4.83,-34.34,Slovakia,Transmission,SK,Slovakia,Austria,Transmission,AT,Austria,AT-TSO-0001,GCA,ITP-00162,Baumgarten WAG,,,Jun  5 2024  6:23PM
SK,ITP-00421,Budince,False,33.0,-33.0,Slovakia,Transmission,SK,Slovakia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00421,Budince,,,Jun  5 2024  6:23PM
SK,UGS-00069,Dolni Bojanovice,False,11.56,-30.18,Slovakia,Transmission,SK,Slovakia,Storage,Storage,CZ,Czechia,CZ-SSO-0003,SPP Storage,UGS-00069,Dolni Bojanovice,,,Jun  5 2024  6:23PM
SK,ITP-00177,Vyrava,False,31.64,-28.42,Slovakia,Transmission,SK,Slovakia,Poland H-gas,Transmission,PL,Poland,PL-TSO-0002,GAZ-SYSTEM,ITP-00177,Vyrava,,,Jun  5 2024  6:23PM
SK,ITP-00117,Uzhhorod (UA) - Velké Kapušany (SK),False,32.92,-31.99,Slovakia,Transmission,SK,Slovakia,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,ITP-00117,GMS Uzhgorod,,,Jun  5 2024  6:23PM
FI,ITP-00550,BALTICCONNECTOR,False,42.41,53.49,Finland,Transmission,FI,Finland,Joint Bal Zone EE/LV,Transmission,EE,Estonia,EE-TSO-0001,Elering,ITP-00550,BALTICCONNECTOR,,,Jun  5 2024  6:23PM
FI,LNG-00011,Hamina LNG,True,57.3,59.45,LNG Terminals,LNG Terminals,FI,Finland,Finland,Transmission,FI,Finland,FI-TSO-0003,Gasgrid Finland,LNG-00011,Hamina LNG,,,Jun  5 2024  6:23PM
FI,LNG-00072,Inkoo LNG (FI),True,41.0,56.0,LNG Terminals,LNG Terminals,FI,Finland,Finland,Transmission,FI,Finland,FI-TSO-0003,Gasgrid Finland,LNG-00072,Inkoo LNG,,,Jun  5 2024  6:23PM
AT,ITP-00007,Überackern SUDAL (AT) / Überackern 2 (DE),False,-16.48,-34.79,Austria,Transmission,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0010,bayernets,ITP-00007,Ueberackern2,,,Jun  5 2024  6:23PM
AT,ITP-00019,Überackern ABG (AT) / Überackern (DE),False,-15.25,-34.07,Austria,Transmission,AT,Austria,DE THE BZ,Transmission,DE,Germany,DE-TSO-0010,bayernets,ITP-00019,Ueberackern,,,Jun  5 2024  6:23PM
