country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,fromDirectionKey,fromOperatorKey,fromBzKey,fromPointKey,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toBzKey,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime,id
FI,LNG-00072,Inkoo LNG (FI),True,41.0,56.0,LNG Terminals,LNG Terminals,FI,Finland,,,,,Finland,Transmission,FI,Finland,FI-TSO-0003,Gasgrid Finland,FI---------,LNG-00072,Inkoo LNG,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00072LNG TerminalsFinlandFI-TSO-0003LNG-00072entry
ES,FNC-00043,Aggregated Distribution + Final Customers Exits (ES),True,-104.06,-64.97,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,FNC-00043,Final Consumers,Final Consumers,ES,Spain,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsFNC-00043SpainES-TSO-0006FNC-00043exitFinal Consumers
ES,ITP-00018,Larrau,False,-87.98,-60.49,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,ITP-00018,TRF,Transmission,FR,France,FR-TSO-0002,TERÉGA,FR----------,ITP-00018,PITT-LARRAU,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00018SpainES-TSO-0006ITP-00018exitTRFFR-TSO-0002ITP-00018entry
ES,ITP-00033,Biriatou (FR) / Irun (ES),False,-92.24,-59.41,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,ITP-00033,TRF,Transmission,FR,France,FR-TSO-0002,TERÉGA,FR----------,ITP-00033,PITT-BIRIATOU,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00033SpainES-TSO-0006ITP-00033exitTRFFR-TSO-0002ITP-00033entry
ES,ITP-00052,Valença do Minho (PT) / Tuy (ES),False,-128.23,-63.63,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,ITP-00052,Portugal,Transmission,PT,Portugal,PT-TSO-0001,REN,PT---------,ITP-00052,Valença do Minho,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00052SpainES-TSO-0006ITP-00052exitPortugalPT-TSO-0001ITP-00052entry
ES,ITP-00064,Badajoz (ES) / Campo Maior (PT),False,-119.66,-71.61,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,ITP-00064,Portugal,Transmission,PT,Portugal,PT-TSO-0001,REN,PT---------,ITP-00064,Campo Maior,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00064SpainES-TSO-0006ITP-00064exitPortugalPT-TSO-0001ITP-00064entry
ES,ITP-00286,VIP IBERICO,False,-119.36,-68.64,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,ITP-00286,Portugal,Transmission,PT,Portugal,PT-TSO-0001,REN,PT---------,ITP-00286,VIP-IBERICO,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00286SpainES-TSO-0006ITP-00286exitPortugalPT-TSO-0001ITP-00286entry
ES,ITP-00304,VIP PIRINEOS,False,-90.13,-60.09,Spain,Transmission,ES,Spain,exit,ES-TSO-0006,ES---------,ITP-00304,TRF,Transmission,FR,France,FR-TSO-0002,TERÉGA,FR----------,ITP-00304,PITT-PIRINEOS,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00304SpainES-TSO-0006ITP-00304exitTRFFR-TSO-0002ITP-00304entry
ES,LNG-00012,Barcelona,True,-72.77,-66.56,LNG Terminals,LNG Terminals,ES,Spain,,,,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,LNG-00012,BARCELONA,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00012LNG TerminalsSpainES-TSO-0006LNG-00012entry
ES,LNG-00013,Bilbao,False,-99.23,-59.54,LNG Terminals,LNG Terminals,ES,Spain,exit,ES-TSO-0005,,LNG-00013,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,LNG-00013,BILBAO,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00013LNG TerminalsES-TSO-0005LNG-00013exitSpainES-TSO-0006LNG-00013entry
ES,LNG-00018,Huelva,True,-119.27,-74.87,LNG Terminals,LNG Terminals,ES,Spain,,,,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,LNG-00018,HUELVA,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00018LNG TerminalsSpainES-TSO-0006LNG-00018entry
ES,LNG-00021,Mugardos,False,-125.42,-59.18,LNG Terminals,LNG Terminals,ES,Spain,exit,ES-TSO-0002,,LNG-00021,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,LNG-00021,MUGARDOS,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00021LNG TerminalsES-TSO-0002LNG-00021exitSpainES-TSO-0006LNG-00021entry
ES,LNG-00022,Cartagena,True,-87.89,-74.19,LNG Terminals,LNG Terminals,ES,Spain,,,,,Spain,Transmission,ES,Spain,ES-TSO-0006,Enagas,ES---------,LNG-00022,CARTAGENA,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00022LNG TerminalsSpainES-TSO-0006LNG-00022entry
