fromCountry,toCountry,direction,totalGasFlow
Spain,Spain,entry,23580906799.0
Spain,Spain,exit,8542738328.0
Switzerland,France,entry,0.0
Switzerland,France,exit,3674281916.0
Switzerland,Germany,entry,1878359777.0
Switzerland,Germany,exit,3427057024.776
Switzerland,Italy,entry,3607122464.0
Switzerland,Italy,exit,623386096.0
Turkey,Bulgaria,exit,0.0
Turkey,Greece,entry,4374001548.0
Ukraine,Hungary,entry,869019732.64
Ukraine,Hungary,exit,890976000.0
Ukraine,Moldavia,entry,84747054.53
Ukraine,Moldavia,exit,876594351.87
Ukraine,Poland,entry,277555179.06
Ukraine,Poland,exit,285008282.0
Ukraine,Romania,entry,0.0
Ukraine,Romania,exit,0.0
Ukraine,Russia,entry,4885907461.6
Ukraine,Slovakia,entry,4976858907.67
Ukraine,Slovakia,exit,4645558150.1
Ukraine,Ukraine,entry,0.0
Ukraine,Ukraine,exit,876594351.87
United Kingdom,Belgium,entry,1302166258.0
United Kingdom,Ireland,entry,277578592199.0
United Kingdom,Netherlands,entry,363.6
United Kingdom,Norway,entry,15106628714.0
United Kingdom,United Kingdom,entry,1311221886.0
United Kingdom,United Kingdom,exit,17314049525.0
